symbol,videoUrl
EBTGOLD,
SOCIAL,
JS,No intro video found 
ARTE,
LA,https://youtu.be/ILZDld1dWs8
DATA,https://youtu.be/e52JM9JmX24
EBIT,No intro video found 
YEL,https://youtu.be/FkW8Z3SdVr0
GIM,https://youtu.be/lY_Q4CbRhrQ
SGG,
GMT,https://youtu.be/wPeitGReqLA
RCN,https://youtu.be/f3Yq550_Coo
BTG,No intro video found 
JDI,
ADU,
ARN,https://www.facebook.com/aeronpublic/videos/145277279410119/
EMT,
AMO,
DRP2,
DOVU,https://youtu.be/_Rgas8gl1HQ
CTX,https://youtu.be/bQQjp_ujjXM
BUS,
SUB1X,
ALTS,
LIFE,No intro video found 
ALCO,
FYP,https://youtu.be/gOKWen7XhYY
GTA,
0ED,
BITCOINEREUM,
CAS,
XBL,No intro video found 
CCP,
TMP,
LAP,
OHNI,
NTWK,https://www.facebook.com/networktoken/videos/1734668046841782/
1BIT,
NEBO,
ERC20,No intro video found 
MPESA,
SLIP,
ALIEF,
HAO,
SAT,
ZSC,https://youtu.be/MBn2WI265-Q
TIE,https://youtu.be/PEX_V8tTwhY
EGAS,No intro video found 
PLX,
AMB,https://youtu.be/OkdCV6zw3lI
CTT,
EBTC,https://youtu.be/moA4twTd8JU
10MTI,
FDX,
GRID,https://vimeo.com/239696018
TIO,
WLK,
TWIT,
TDT,
AGO,
GRMD,
XCC,
WET,
FBR,
CCB,
ETH,https://youtu.be/j23HnORQXvs
FUNOLD,
NXXOLD,
GBTS,
GEC,
DGPT,
TRIA,
B2BX,
ELTCOIN,No intro video found 
NIO,https://youtu.be/PbEvMej7uR4
SCX,
CSL,
GVT,https://youtu.be/igpxx-lrpQc
SNIP,
DEEM,
CS,
DRPU,
DRPS,
UKG,https://youtu.be/CZ04gxgoXMI
POWR,https://youtu.be/qeyyCMnZS4E
ELUNCH,
ZCG,No intro video found 
CFD,No intro video found 
RDN,https://youtu.be/R1tIy1XgdPw
BCOIN,
QBE,
EETHER,
CHUCK,
SPOON,
GNEISS,
EPY,https://www.facebook.com/emphy.io/videos/114412912560632/
SMART,https://youtu.be/mxc1gZVEoLU
AMM,
TPL,
ARCT,
RIPT,
UETL,
ZIP,
DCL,
VIU,
DJC,
DVD,
HST,https://youtu.be/C-0ZMC4y9pE
STCN,https://youtu.be/HlcHEUCdF10
FDM,
HELP,
XMAS,
BLN,https://youtu.be/B_dokb65_ZE
ABS,
NAO,
TSS,
SSS,http://sc.gxshares.com/sharechain/video.mp4
BBT,
PNK,
BALI,
ENTRC,
HYTV,
UFR,https://youtu.be/4R3UPGg3b18
BTSE,
NEOG,No intro video found 
FBL,SIte says faceblock contracts have been hacked
MOAC,
MINT,No intro video found 
ZDR,
INS,
JWT,
PLC,https://youtu.be/eIVH9occ2Ps
PRFT,
DEER,
MVT,
NDO,
GRX,
SGR,
ASTRO,No intro video found 
TRASH,
ERO,
SNI,
LOC,
PRIX,https://youtu.be/kH8tDnMoaYk
INDI,
